run	n.clusts	n.tot.clust genes 	n.genes per cluster
1	142		321	2 3 2 2 2 2 2 2 2 2 2 2 2 3 2 4 2 2 2 3 2 3 2 3 2 2 2 3 2 2 2 3 4 3 2 2 3 2 3 2 2 2 5 2 3 2 2 2 2 2 3 2 2 2 2 2 2 2 2 3 3 2 2 2 2 2 3 2 2 2 2 2 2 2 2 2 2 2 3 2 4 2 3 3 2 2 2 2 3 2 2 2 4 3 2 2 3 2 2 2 2 2 2 2 2 2 2 2 4 2 3 3 2 2 2 2 2 2 2 2 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 
2	138		303	2 3 2 2 2 2 4 3 2 3 2 2 2 2 2 2 4 2 2 3 2 2 3 2 2 2 2 2 2 2 2 3 2 2 5 2 2 2 2 3 2 2 2 2 2 2 2 2 4 2 2 2 2 2 2 3 2 2 4 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 2 3 2 2 3 2 2 3 2 2 3 2 2 2 2 2 2 2 2 2 2 2 2 2 3 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 2 2 2 2 2 2 2 2 2 2 2 2 
3	130		292	2 2 2 3 2 3 2 2 2 2 3 4 2 2 2 3 2 3 2 3 3 2 2 2 2 4 2 3 2 2 2 2 3 2 2 2 2 2 2 2 2 3 2 2 2 2 2 4 2 2 3 2 2 3 2 2 2 2 2 3 2 2 2 2 2 2 2 2 3 2 2 2 2 2 2 2 2 2 2 2 2 4 2 2 4 2 2 2 3 3 4 2 5 2 2 2 2 2 2 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 
4	142		313	2 2 2 2 2 2 2 2 3 2 3 2 2 2 3 2 2 2 2 2 2 2 3 2 2 2 2 2 2 2 2 3 4 2 2 2 4 2 2 3 2 2 2 2 2 3 2 2 2 2 4 3 2 2 2 2 2 3 4 2 2 2 2 2 2 4 2 2 2 3 2 2 2 2 2 2 2 2 2 2 2 2 2 3 2 4 3 2 2 2 2 2 2 2 2 2 3 2 2 2 2 3 2 2 2 2 2 2 2 2 2 2 2 3 2 2 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 2 2 2 2 
5	150		324	2 2 3 3 3 2 2 2 3 2 2 2 2 3 3 2 2 2 2 2 2 2 2 2 3 2 2 2 2 3 2 2 3 2 2 2 2 2 2 2 2 4 3 3 2 2 2 2 3 2 2 2 2 2 3 2 2 2 3 2 3 2 2 2 2 2 3 2 2 2 2 2 2 3 2 2 2 2 2 2 3 2 2 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 2 2 2 2 2 2 2 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 2 2 2 2 2 2 2 2 2 2 2 2 
6	147		326	2 2 2 5 2 2 2 3 2 2 2 2 4 4 2 2 2 2 4 2 2 2 2 2 2 2 2 2 2 2 3 2 2 2 2 2 2 3 2 2 2 2 2 2 4 2 3 3 2 3 2 3 2 3 2 2 2 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 2 2 2 3 2 2 2 2 2 2 3 4 2 2 2 3 2 2 2 2 2 3 2 2 2 2 2 2 2 2 2 2 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 2 2 2 2 2 2 2 2 3 2 2 2 2 2 2 2 2 2 4 
7	126		280	2 2 2 3 2 2 2 4 2 2 2 4 2 2 2 2 2 2 3 2 3 2 2 2 2 2 2 2 2 2 3 2 2 2 2 2 3 2 2 2 2 3 2 2 2 2 2 3 5 2 2 2 3 2 2 2 2 3 3 2 2 3 2 2 2 2 2 2 2 2 3 2 2 2 2 2 2 2 2 2 3 3 2 2 3 2 2 3 2 2 2 2 3 2 2 2 2 5 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 
8	140		301	2 2 2 2 2 2 2 3 2 2 2 4 2 2 2 2 5 2 2 2 2 2 2 2 2 2 2 5 3 2 2 2 2 2 3 2 2 3 3 2 2 2 2 2 2 3 2 2 2 3 2 2 2 2 2 2 2 3 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 2 2 2 2 2 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 
9	143		316	2 2 3 3 2 2 3 2 2 2 3 2 3 3 4 2 2 2 2 2 2 2 2 3 2 4 2 2 3 2 2 2 2 3 4 2 3 2 2 2 3 2 3 2 2 2 2 2 3 2 2 2 2 2 2 2 2 2 2 2 2 2 4 2 3 2 3 2 2 2 3 2 2 2 2 2 2 2 2 2 2 2 3 3 2 2 2 2 2 2 2 2 2 2 2 2 3 2 2 2 2 2 2 2 2 2 2 3 2 2 2 2 2 2 2 2 2 2 2 2 2 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 2 
10	133		293	3 3 2 5 2 2 2 2 2 2 3 2 2 2 3 2 2 3 2 3 2 2 2 2 2 3 2 2 2 2 2 2 2 3 2 3 2 2 2 2 3 2 2 3 2 3 2 2 2 2 2 4 2 2 2 2 2 3 2 2 2 2 3 3 2 2 2 2 2 4 2 2 2 3 2 2 2 2 2 2 2 2 2 2 3 2 2 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 2 2 2 2 2 2 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 
